"Anne Peter Clow",anne@gmail.com,8525852585,MobileSMS
"Kapil Sunil Sharma",kapil11@gmail.com,7555858455,Both
"Janvi Alpeshbhai Mehta",janvimehtaa@gmail.com,8525875955,EmailNotif
"Rahul Ashok Nolkha",rahul30@gmail.com,7414155256,Both
"Saloni Arvind Sancheti",saloni0@gmail.com,9856565335,EmailNotif
"Ayush PareshBhai Soni",ayushsoni77@gmail.com,9854545454,Both
"Dimpal Dineshbhai Shah",dimpal@gmail.com,8566555541,Both
"Anil Suresh Ambani",anil2@gmail.com,9856686555,EmailNotif
"Darshan Dineshbhai Shah",darshan@gmail.com,8582865589,EmailNotif
"Darshan Dineshbhai Shah",darshannolkha123@gmail.com,9157510123,Both
"Harsh Nitinbhai Mehta",harsh@gmail.com,9874563210,EmailNotif
"Harsh Nitinbhai Mehta",harsh1@gmail.com,9874563211,MobileSMS
"Darshan Dineshbhai Shah",darshan12@gmail.com,9157510120,Both
"Darshan Dineshbhai Shah",darshan1224@gmail.com,9157510127,EmailNotif
